id,type,from,to,note,created_at
edge:framework:solution:buildable:framework:solution,requires,framework:solution:buildable,framework:solution,,2026-01-31T22:00:03.711416
edge:framework:solution:v1:framework:solution,requires,framework:solution:v1,framework:solution,,2026-01-31T22:00:03.711418
edge:framework:timing:why_now:framework:timing,requires,framework:timing:why_now,framework:timing,,2026-01-31T22:00:03.711420
edge:framework:timing:change:framework:timing,requires,framework:timing:change,framework:timing,,2026-01-31T22:00:03.711422
edge:framework:timing:window:framework:timing,requires,framework:timing:window,framework:timing,,2026-01-31T22:00:03.711424
edge:framework:timing:late:framework:timing,requires,framework:timing:late,framework:timing,,2026-01-31T22:00:03.711426
edge:framework:founder:why_you:framework:founder,requires,framework:founder:why_you,framework:founder,,2026-01-31T22:00:03.711427
edge:framework:founder:domain:framework:founder,requires,framework:founder:domain,framework:founder,,2026-01-31T22:00:03.711429
edge:framework:founder:technical:framework:founder,requires,framework:founder:technical,framework:founder,,2026-01-31T22:00:03.711431
edge:framework:founder:network:framework:founder,requires,framework:founder:network,framework:founder,,2026-01-31T22:00:03.711433
edge:framework:founder:gaps:framework:founder,requires,framework:founder:gaps,framework:founder,,2026-01-31T22:00:03.711435
edge:framework:founder:cofounder:framework:founder,requires,framework:founder:cofounder,framework:founder,,2026-01-31T22:00:03.711437
edge:framework:competition:direct:framework:competition,requires,framework:competition:direct,framework:competition,,2026-01-31T22:00:03.711439
edge:framework:competition:indirect:framework:competition,requires,framework:competition:indirect,framework:competition,,2026-01-31T22:00:03.711441
edge:framework:competition:failed:framework:competition,requires,framework:competition:failed,framework:competition,,2026-01-31T22:00:03.711443
edge:framework:competition:incumbents:framework:competition,requires,framework:competition:incumbents,framework:competition,,2026-01-31T22:00:03.711445
edge:framework:business_model:revenue:framework:business_model,requires,framework:business_model:revenue,framework:business_model,,2026-01-31T22:00:03.711447
edge:framework:business_model:pricing:framework:business_model,requires,framework:business_model:pricing,framework:business_model,,2026-01-31T22:00:03.711494
edge:framework:business_model:unit_economics:framework:business_model,requires,framework:business_model:unit_economics,framework:business_model,,2026-01-31T22:00:03.711509
edge:framework:business_model:profitability:framework:business_model,requires,framework:business_model:profitability,framework:business_model,,2026-01-31T22:00:03.711515
edge:framework:gtm:pmf_type:framework:gtm,requires,framework:gtm:pmf_type,framework:gtm,,2026-01-31T22:00:03.711520
edge:framework:gtm:first_customers:framework:gtm,requires,framework:gtm:first_customers,framework:gtm,,2026-01-31T22:00:03.711526
edge:framework:gtm:acquisition:framework:gtm,requires,framework:gtm:acquisition,framework:gtm,,2026-01-31T22:00:03.711530
edge:framework:gtm:sales_motion:framework:gtm,requires,framework:gtm:sales_motion,framework:gtm,,2026-01-31T22:00:03.711534
edge:framework:gtm:expansion:framework:gtm,requires,framework:gtm:expansion,framework:gtm,,2026-01-31T22:00:03.711539
87908637-e850-42fc-b1be-98c8a7506413,informs,31d4469c-af5f-4c96-bb1d-b05e61437f4e,framework:problem:who,,2026-01-31T22:12:46.552458
9706728b-4fd7-4951-9890-4dc2e6c69089,supports,394cff42-5604-4ced-8e60-b7c717ea3afc,framework:problem:pain,,2026-01-31T22:12:46.555017
40138ed6-78df-49eb-94c7-387632197602,informs,394cff42-5604-4ced-8e60-b7c717ea3afc,framework:business_model:unit_economics,,2026-01-31T22:12:46.556239
b48cc4ad-21da-4f95-9c06-2fbd5613c252,supports,1859ec5c-4b11-47b6-81c9-2c5397d625e7,framework:problem:who,,2026-01-31T22:19:10.782909
915224eb-b648-48fe-8347-559178b95249,supports,becacbdf-92da-45ed-a6e6-b824239ada8c,framework:problem:pain,,2026-01-31T22:19:10.785689
1cacb072-474e-4902-8d12-93a382e65556,informs,becacbdf-92da-45ed-a6e6-b824239ada8c,framework:business_model:unit_economics,,2026-01-31T22:19:10.787017
aba81a6a-9679-4ae0-a061-dce6504bce87,informs,c4df48b1-8d91-4e7d-951b-c1fe5da8912b,framework:problem:current_solution,,2026-01-31T22:27:06.126221
5d04eb42-5b39-4116-9efa-7224df57f2cc,supports,c4df48b1-8d91-4e7d-951b-c1fe5da8912b,framework:competition:failed,,2026-01-31T22:27:06.128092
600744a6-2275-4453-987f-fa4cc206ca78,supports,a8b0b335-7648-4559-a8b2-8a7662d6508f,framework:market:size,,2026-01-31T22:27:06.131471
cb89e77f-3553-4709-a65d-eb35eb42534e,informs,a8b0b335-7648-4559-a8b2-8a7662d6508f,framework:problem:why_unsolved,,2026-01-31T22:27:06.132888
77d0485f-8d29-4683-b96f-0d0c5faeb2c2,informs,d9edccf2-debf-48a2-8f50-2869a44a8cbb,framework:problem:current_solution,,2026-01-31T22:27:06.135581
8b04d470-54db-4647-aacb-1d79bca77f4e,informs,c3decebb-060e-4ca0-b140-d364c8e19653,framework:market:size,,2026-01-31T22:27:06.138062
8e748afb-0b05-42f3-b06c-05f82eb1e33d,informs,e261c1ca-a9c3-49a0-b820-c96722970e45,framework:problem:current_solution,,2026-01-31T22:27:06.140766
5e6d1b7b-3e4e-4466-8cfa-80871ec853d5,informs,dc139ed3-b221-4a23-99f1-fc4941852aaf,framework:problem:pain,,2026-01-31T22:27:06.143551
edge-b36675ff,informs,claim-3e97da9d,framework:founder:technical,"Direct statement about technical capabilities, though hyperbolic",2026-02-01T03:29:23.391117
edge-b21747e6,informs,claim-3e97da9d,framework:founder:why_you,Technical expertise could be key founder differentiator,2026-02-01T03:29:23.391594
edge-11ec0197,informs,claim-76cef3fa,framework:founder:technical,General sentiment about technical talent value,2026-02-01T03:36:05.534867
edge-3d6ac3be,informs,claim-76cef3fa,framework:founder:why_you,Suggests technical background as founder advantage,2026-02-01T03:36:05.535549
